Gambar,Nama,Link,Harga,Penjual,Lokasi,Rating,Terjual,Deskripsi
https://cf.shopee.co.id/file/fd0cbd3f50be7671ddcd5451b1c47093_tn,Ikan Cue / Cuwe Keranjang 2 Ekor Fresh Segar Enak Pasar Murah Jakarta,https://shopee.co.id/Ikan-Cue-Cuwe-Keranjang-2-Ekor-Fresh-Segar-Enak-Pasar-Murah-Jakarta-i.83389415.1569715489?sp_atk=60ac2554-b019-413f-8fd4-1b0cc00a8e77,7.7,pasarmurahjakarta,KOTA JAKARTA TIMUR,5,82,Ikan Cue keranjang selalu baru fresh setiap hari krn belanja setiap hari.. silahkan diorder 🙏🏻
https://cf.shopee.co.id/file/ede5656691827e45f78b01c03b834e50_tn,IKAN PARANG PARANG GILING,https://shopee.co.id/IKAN-PARANG-PARANG-GILING-i.4735742.1485756021?sp_atk=baa3f8cd-0c51-4c35-9d13-fa58a6ae5e7a,63,linda.hakim,KOTA TANGERANG,5,75,"• kualitas diatas kakap super dan lebih mirip tenggiri dari rasanya. warna tidak terlalu putih spt tenggiri
• cocok untuk pempek, dan tekwan
• halal & toyyib
• semua ikan yg kami jual tanpa pengawet, tanpa pemutih, di giling tanpa campuran es/air
• senin-sabtu order sameday jam 8-jam 2
• senin - sabtu order instant jam 8-jam 4
• di proses kirim pada hari yg sama
• minggu = libur
• bintang 1,2,3 tdk akan di layani lagi, karena tdk menghargai penjual, bila ada masalah boleh hub admin utk garansi 

kritik, saran dan garansi produk bisa menghubungi admin 😊 isnyaAllah amanah..
terima kasih, smg muamalah kita berkah"
https://cf.shopee.co.id/file/f11de861dc20da3a0a80c613ae62d581_tn,Ikan Tuna Putih Fillet 500gr,https://shopee.co.id/Ikan-Tuna-Putih-Fillet-500gr-i.54395976.8012489291?sp_atk=1b9a77d0-fe6d-44cd-b27e-774e877e8ca9,29,goedangjamdjakarta,KOTA DEPOK,5,66,Ikan Tuna Putih Fillet 500gr
https://cf.shopee.co.id/file/6a81fc19bb0b492a9cf3f2bcd6a651ff_tn,IKAN CHANA MARU YS yellow sentarum SIZE (16-18CM),https://shopee.co.id/IKAN-CHANA-MARU-YS-yellow-sentarum-SIZE-(16-18CM)-i.345023971.8320542802?sp_atk=9f942736-cad5-44b2-a170-0a6c24be98c2,54,juandaniel121002,KOTA BEKASI,5,34,"CHANA YS SIZE (16-18)CM REALLL
GARANSI BERLAKU :DIORDERAN KEDUA DAN VIDIIO UNBOXING HARUS TERTERA JIKA TIDAK garansi tidak berlaku
TIDAK MENERIMA PENGEMBALIAN UANG 
TRIMAKASIH"
https://cf.shopee.co.id/file/0f7e53e945d4617c19b161175778f3b6_tn,Ikan Baronang STANDAR LOKAL Segar dan Bergaransi / Pack,https://shopee.co.id/Ikan-Baronang-STANDAR-LOKAL-Segar-dan-Bergaransi-Pack-i.226267662.4040158757?sp_atk=a9030af3-4112-4c94-9b4f-f3fad6b1ab19,42,fresiofoods,KOTA JAKARTA SELATAN,5,62,"STANDAR LOKAL PRODUCT

BACA PENTING !!!!
[SILAHKAN PILIH UKURAN IKAN SESUAI VARIANT, JIKA INGIN UKURAN TERTENTU SILAHKAN CHAT SELLER TERLEBIH DAHULU UNTUK KETERSEDIAANNYA]

*IKAN LANGSUNG DARI NELAYAN DAN BERGARANSI
*KONDISI IKAN BEKU ABF SEHINGGA DIJAMIN SEGAR
*GRATIS REQUST BESIHKAN IKAN

Variant Pack:
- Isi 1-3 Ekor 401-500 gr
- isi 4-6 Ekor 401-500 gr
- isi 7-10 Ekor 401-500 gr
- isi 1-3 Ekor 501-600 gr
- isi 1-3 Ekor 601-700 gr
- isi 1-3 Ekor 701-800 gr
- isi 1-3 Ekor 801-900 gr
- isi 1-3 Ekor 901-1000 gr
- isi 4-6 Ekor 901-1000 gr
- isi 7-10 Ekor 901-1000 gr

Deskripsi Produk:
•  Kemasan : 
    Plastik VACUUM Polietilena (PE) (Plastik Aman Untuk Makanan) + SEAL
•  Kondisi Ikan :
    Dalam Keadaan UTUH
    BELUM DIBERSIHKAN
    BEKU SEGAR (Bukan Beku Stok Lama)
    BEKU ABF
    TANPA BAHAN PENGAWET
•  Glassing :
    TIDAK ADA GLASSING
•  Suhu penyimpanan -20 hingga -30
•  Garansi Produk :
    Penggantian Ikan Baru Tanpa biaya tambahan (ongkir dan ikan pengganti) atau
    Pengembalian 100% Dana 
•  Proses produksi diselenggarakan di tempat dan dengan cara yang higienis 
    sehingga kualitas dapat selalu kami pantau & 100% HALAL.
• Semua foto produk adalah tampilan ASLI dari kondisi PRODUK yang sesungguhnya.
• TIDAK GATAL dan AMAN di KONSUMSI

FRESIO FOODS by Oifresh Group menyediakan Produk Makanan Segar dalam keadaan Beku yang siap untuk diolah untuk Rumahan, Restoran dan Rumah Makan. Produk Makanan Segar yang kami peroleh langsung dari Sumbernya dan di proses pembekuan dengan mesin ABF dengan suhu -45 tanpa menggunakan bahan pengawet kimia apapun, sehingga Kualitas dan Kesegaran Produk dapat terjaga hingga ke tangan konsumen. Silahkan konsultasi dengan Admin Chat kami untuk informasi Produk Makanan Segar yang anda butuhkan.

OPEN RESELLER
OPEN SUPPLIER (Daging, Ayam, Ikan, Udang, Cumi, Frozen Foods dll)

#baronang #ikanbaronang #baronangsegar #ikanlaut #ikanlautsegar #baronangbeku #ikanbeku #ikanbaronangbeku  #oifreshgroup #oishifreshmart #fresiofoods"
https://cf.shopee.co.id/file/db14fd0d4c54fa11c1198ef17af088ac_tn,22 Seafood - Fillet Ikan Tongkol 500 gram,https://shopee.co.id/22-Seafood-Fillet-Ikan-Tongkol-500-gram-i.229530600.6861228374?sp_atk=7834ba09-6f13-4dfd-8231-360c43a64afd,30,22seafoodamt,KOTA JAKARTA UTARA,5,71,"𝘉𝘳𝘢𝘯𝘥 22𝘚𝘦𝘢𝘧𝘰𝘰𝘥, tersedia di Supermarket dan Mall Jakarta

LOIN IKAN TONGKOL 
berat isi 500 gram/pack isi 1-3 pcs
Jenis tongkol batik dan abu abu dari kualitas ikan pilihan size besar

tulang, kulit dan daging hitam sudah dibuang bersih 

Details :
▪ seafrozen raw material, supreme quality
▪ daging beku tanpa bahan pengawet 
▪ ikan diproses bersih & higienis sesuai dengan standart international
▪ daging portion/potongan tanpa tulang & tanpa kulit, daging hitam sudah dibuang
▪ produk dikemas dengan plastik Vacuum Pack food grade 
▪ Packing box atau styrofoam agar kualitas  daging tetap fresh
▪ pabri bersertifikat HALAL dan Sertifikat HACCP serta Uji Laboratorium Mikrobiologi, TPC and E coli dan bakteri lainnya
▪ Sudah terpercaya!!

NOTE :
▪ Menerima Pembelian Area Jabodetabek
▪ Pengiriman lebih cepat menggunakan Instant Kurir sehingga ikan tetap 𝘧𝘳𝘦𝘴𝘩 saat tiba di lokasi
▪ Pembelian di atas jam 12 siang atau hari libur, produk akan dikirim di hari berikutnya 

Menerima PO untuk Hotel, Restauran, Swalayan, Supermarket , dll."
https://cf.shopee.co.id/file/16a4491520673bea17e6c0bbd1972831_tn,ikan louhan(cod)/lohan srd/cencu size 4-6 cm (beli 5 gratis 1),https://shopee.co.id/ikan-louhan(cod)-lohan-srd-cencu-size-4-6-cm-(beli-5-gratis-1)-i.408241444.9931675747?sp_atk=63a04e39-50e2-4a48-acba-a912790647b8,10.9,juan_aquatic,KOTA BEKASI,5,59,"Photo profil adalah foto biangan atau indukan Cencu/SRD

Info: Dengan adanya PSBB terkait pandemi COVID 19 maka dari itu pengiriman via jnt akan ada keterlambatan pengiriman....

Burayak/anakan ikan louhan Cencu/SRD Gen Ori kualitas gen jenong kuat....
ada sample indukanya & kepala super jenong....

Ukuran size ikan kurang lebih 4-6cm up

Mutiara calon joss....
Gen jenong kuat....
Murah meriah

Nb: maaf kita gak terima refund/pengembalian dana/barang.
Jdi kalo ikan mati dijalan di ganti syarat saat orderan kedua...
Ikan yg dikirim random,tidak bisa request jantan/betina karna burayak tidak bisa dibedakan jenis kelaminya....tpi tetap yg terbaik yg dkirim...

Membeli = setuju

kami sudah terima pengiriman luar pulau Jawa 🙏😊

Pesan sebelum jam 17:00 Pesanan akan dkirim dihari yg sama

Indukan kami adalah indukan pilihan JENONG ASLI BUKAN JENONG BOTAK

Sebelum memberikan nilai atau rating dikarenakan ada masalah HARAP KONFIRMASI KAMI TERLEBIH DAHULU

Garansi hidup dengan menyertakan video unboxing."
https://cf.shopee.co.id/file/8ecf3b0a61b4f47a1a30ff10aad8c524_tn,ikan Sembilang telur segar harian hasil laut 1kg,https://shopee.co.id/ikan-Sembilang-telur-segar-harian-hasil-laut-1kg-i.313183149.10127468722?sp_atk=59a46734-e043-42bd-9261-b12c1b9a710f,50,waroengikan,KOTA JAKARTA UTARA,5,10,"Salam manis dari yang bau amis🤭

Kami harap baca sebelum order

Kami akan membantu bagi pelanggan yg membutuhkan ikan ikan segar harian hasil tangkapan dari nelayan di sekitar daerah kami Sendiri,dan apabila nelayan di daerah kami tidak memenuhi pesanan pelanggan maka kami akan memesan ke daerah daerah lain untuk melengkapi pesanan pelanggan... demi memuaskan pelanggan semapu kami akan tetap berusaha mencari ikan ikan segar, seafood segar,baik dari laut ataupun dari air tawar.! Dan kami pastikan kualitas ikan dan seafood kami jual mutu terjamin berkualitas tinggi tanpa ada bahan pengawet dan pewarna sehingga sangat aman untuk di konsumsi
Kondisi ikan dalam keada'an utuh dan segar
Bisa request bersihkan,filet,potong stick dll gratis tanpa di minta upah jasa membrsihkan karena kepuasan dan kenyamanan pelanggan adalah target utama kami😊

(Pemberitahuan)

Cat sebelum order untuk menanyakan ketersediaan barang
Karena hampir semua Nelayan di daerah kami mendarat di siang hari sampai malam hari.

(Deskripsi produk)
 Kami menjual ikan Sembilang segar berkualitas tinggi hasil tangkapan dari nelayan di daerah kami sendiri 
Kami tidak menyediakan stok beku(Frozen) karena  kami tidak merasa kesulitan dalam mencari ikan segar dan seafood segar di daerah kami sendiri..

(Pengirim)
Instan estimasi 1-2 jam dan samday 3-8 jam
(DI SARANKAN)
kalo pilih jasa kirim grab,gojek samday Ajak saudara,teman-teman dan tetangga untuk  belanja di toko kami... minimal order 7kg maka akan ada bonus bok setrofoam dan ikan segar sebanyak 500g

(NB)
Kami mohon ma'af bila kami telat merespon cat pelanggan di siang hari...
Karena aktivitas kami dalam mencari ikan dan seafood segar...kami  selalu aktif di malam hari🙏🙏"
https://cf.shopee.co.id/file/93edba3287d33376d7600008fc6109e2_tn,ikan platy Micky mouse hias,https://shopee.co.id/ikan-platy-Micky-mouse-hias-i.243582241.9244295609?sp_atk=c0e3d915-c6b3-48bd-a232-b4cd1c499055,1,sumberaquarium,KOTA DEPOK,5,71,bismillahirrahmanirrahim
https://cf.shopee.co.id/file/49e1704c022a4e8dcb1ce6a3cef83917_tn,FILLET IKAN KAKAP MERAH Frozen 500g,https://shopee.co.id/FILLET-IKAN-KAKAP-MERAH-Frozen-500g-i.197406032.8462957149?sp_atk=04f783e8-0100-437d-b6df-6022b049e84f,44.99,cahayameatnfish,KOTA TANGERANG SELATAN,5,88,"Fillet Ikan Kakap Merah Frozen 500g
Sudah tanpa tulang.

Vacum pack 500g

Happy Shopping"
https://cf.shopee.co.id/file/95b8e0594bfee282aa9247b176abba32_tn,ikan roa tumbuk badan setengah kg,https://shopee.co.id/ikan-roa-tumbuk-badan-setengah-kg-i.18690174.1365377230?sp_atk=22861a21-0341-4a62-9b6c-3e64f192bff2,100,juraganroa,KOTA GORONTALO,5,59,ikan roa yang sudah di bersihkan dari kemudian di tumbuk berat bersih 500 gram  kepala dan ekor dibuang
